1:
 num     #instances         #bytes  class name (module)
  87:           388          44440  [Z (java.base@21.0.12)
  88:           518          44080  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  89:          2752          44032  java.util.LinkedHashSet (java.base@21.0.12)
  90:          1826          43824  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  91:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  92:           676          43264  org.postgresql.core.v3.SimpleQuery
  93:           900          43200  java.util.TreeMap (java.base@21.0.12)
  94:          1785          42840  java.lang.Class$AnnotationData (java.base@21.0.12)
  95:          1764          42336  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  96:          1752          42048  tools.jackson.databind.node.DoubleNode
  97:          1304          41728  org.apache.kafka.common.MetricName
  98:          1304          41728  org.apache.kafka.common.metrics.KafkaMetric
  99:          1710          41360  [Ljava.lang.reflect.Type; (java.base@21.0.12)
 100:          1689          40976  [Lorg.springframework.core.ResolvableType;
 101:           188          40848  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
 102:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 103:          1594          38256  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 104:          1170          37440  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 105:          1549          37176  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 106:           765          36720  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 107:            66          36432  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 108:           506          36432  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 109:           737          35376  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 110:          1472          35328  org.springframework.util.ConcurrentReferenceHashMap$Entry
 111:          2203          35248  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 112:          1095          35040  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 113:          2164          34624  java.util.Optional (java.base@21.0.12)
 114:           864          34560  java.math.BigInteger (java.base@21.0.12)
 115:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 116:          1069          34208  java.util.Locale (java.base@21.0.12)
 117:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 118:            19          34096  [S (java.base@21.0.12)
 119:          1059          33888  java.lang.Package (java.base@21.0.12)
 120:           847          33880  java.lang.Package$VersionInfo (java.base@21.0.12)
 121:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 122:          1396          33504  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 123:          1392          33408  java.time.Instant (java.base@21.0.12)
 124:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 125:          1373          32952  java.util.concurrent.atomic.AtomicLong (java.base@21.0.12)
 126:           855          32928  [Ljava.lang.reflect.Field; (java.base@21.0.12)
 127:           821          32840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 128:           990          31680  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x00007b807c5f70c8
 129:          1304          31296  org.apache.kafka.common.telemetry.internals.MetricKey
 130:           483          30912  org.apache.kafka.common.metrics.Sensor
 131:          1929          30864  org.springframework.core.ResolvableType$DefaultVariableResolver
 132:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 133:           546          30576  java.nio.HeapCharBuffer (java.base@21.0.12)
 134:          1906          30496  java.util.HashSet (java.base@21.0.12)
 135:          1217          29208  io.micrometer.core.instrument.binder.kafka.KafkaMetrics$$Lambda/0x00007b807ca9e288
 136:           912          29184  org.apache.kafka.common.protocol.types.Schema
 137:           900          28800  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 138:          1785          28560  java.util.HashMap$EntrySet (java.base@21.0.12)
 139:           694          27760  java.lang.reflect.Parameter (java.base@21.0.12)
 140:           834          26688  sun.security.util.DerValue (java.base@21.0.12)
 141:          1104          26496  java.util.jar.Attributes$Name (java.base@21.0.12)
 142:           801          25632  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 143:            47          25040  [D (java.base@21.0.12)
 144:          1028          24672  org.springframework.beans.factory.annotation.InjectionMetadata
 145:           509          24432  java.util.WeakHashMap (java.base@21.0.12)
 146:           749          23968  java.lang.invoke.MethodTypeForm (java.base@21.0.12)
 147:           991          23784  io.micrometer.core.instrument.internal.DefaultGauge
 148:           976          23424  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 149:           320          23040  org.apache.kafka.common.config.ConfigDef$ConfigKey
 150:           110          22880  org.apache.coyote.Request
 151:           706          22592  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 152:           692          22144  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.12)
 153:          1369          21904  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.12)
 154:           911          21864  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.12)
 155:           182          21840  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 156:           910          21840  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.12)
 157:           906          21744  org.apache.kafka.common.metrics.Sensor$StatAndConfig
 158:           226          21696  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 159:           676          21632  org.postgresql.core.NativeQuery
 160:           338          21632  sun.security.ssl.CipherSuite (java.base@21.0.12)
 161:          1332          21312  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 162:           110          20240  org.apache.catalina.connector.Request
 163:           629          20128  sun.reflect.generics.repository.ClassRepository (java.base@21.0.12)
 164:           848          20112  [Ljava.lang.reflect.Constructor; (java.base@21.0.12)
 165:           834          20016  [Lsun.security.x509.AVA; (java.base@21.0.12)
 166:           834          20016  sun.security.x509.AVA (java.base@21.0.12)
 167:           834          20016  sun.security.x509.RDN (java.base@21.0.12)
 168:           491          19640  java.util.WeakHashMap$Entry (java.base@21.0.12)
 169:           609          19488  org.apache.kafka.common.protocol.types.Field$TaggedFieldsSection
 170:           330          19296  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 171:           801          19224  javax.management.ObjectName$Property (java.management@21.0.12)
 172:          1171          18736  java.util.concurrent.CopyOnWriteArraySet (java.base@21.0.12)
 173:           577          18464  org.postgresql.core.SqlCommand
 174:           757          18168  java.util.ImmutableCollections$Set12 (java.base@21.0.12)
 175:           283          18112  java.net.URL (java.base@21.0.12)
 176:           744          17856  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.12)
 177:           678          17616  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 178:           676          17544  [Lorg.springframework.core.annotation.MergedAnnotation;
 179:           436          17440  [Ljava.util.HashSet; (java.base@21.0.12)
 180:           436          17440  jdk.jfr.internal.Control (jdk.jfr@21.0.12)
 181:           196          17248  jdk.jfr.internal.PlatformEventType (jdk.jfr@21.0.12)
 182:           718          17232  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.12)
 183:           268          17152  java.security.Provider$Service (java.base@21.0.12)
 184:           357          17136  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.12)
 185:           577          17104  [Ljavax.management.ObjectName$Property; (java.management@21.0.12)
 186:           706          16944  java.security.Provider$ServiceKey (java.base@21.0.12)
 187:           486          16560  [Lorg.apache.kafka.common.protocol.types.Schema;
 188:          1019          16304  org.springframework.beans.factory.support.MethodOverrides
 189:           911          16224  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@21.0.12)
 190:           675          16200  org.springframework.core.annotation.MergedAnnotationsCollection
 191:           336          16128  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.12)
 192:           496          15872  org.postgresql.core.CachedQuery
 193:           654          15696  sun.reflect.generics.scope.ClassScope (java.base@21.0.12)
 194:           642          15408  java.util.ImmutableCollections$ListN (java.base@21.0.12)
 195:           640          15360  io.lettuce.core.protocol.RedisStateMachine$State
 196:           958          15328  tools.jackson.databind.util.internal.UnreflectHandleSupplier$$Lambda/0x00007b807c638b40
 197:           273          15288  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.12)
 198:           629          15096  sun.reflect.generics.tree.ClassSignature (java.base@21.0.12)
 199:           721          15040  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@21.0.12)
 200:           614          14736  java.util.ArrayDeque (java.base@21.0.12)
 201:           203          14616  org.springframework.core.annotation.AnnotationTypeMapping
 202:             3          14408  jdk.internal.vm.StackChunk (java.base@21.0.12)
 203:           300          14400  tools.jackson.databind.introspect.AnnotatedMethod
 204:           600          14400  tools.jackson.databind.type.ClassKey
 205:           448          14336  java.lang.ref.PhantomReference (java.base@21.0.12)
 206:           350          14000  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x00007b807c7bf5d0
 207:           436          13952  jdk.jfr.SettingDescriptor (jdk.jfr@21.0.12)
 208:           216          13824  java.util.zip.Inflater (java.base@21.0.12)
 209:           629          13408  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@21.0.12)
 210:           553          13272  java.util.Arrays$ArrayList (java.base@21.0.12)
 211:           557          13216  [Ljava.lang.annotation.Annotation; (java.base@21.0.12)
 212:           231          12936  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 213:           534          12816  java.lang.Long (java.base@21.0.12)
 214:           158          12640  java.net.URI (java.base@21.0.12)
 215:           387          12384  org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty
 216:           514          12336  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.12)
 217:           512          12288  io.netty.util.HashedWheelTimer$HashedWheelBucket
 218:           512          12288  java.util.Collections$SetFromMap (java.base@21.0.12)
 219:           507          12168  org.springframework.beans.MutablePropertyValues
 220:           502          12048  org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator$ComposedCacheKey
 221:           479          11496  org.springframework.beans.BeanMetadataAttribute
 222:           478          11472  org.apache.kafka.common.protocol.types.CompactArrayOf
 223:           110          11440  org.apache.coyote.Response
 224:           110          11440  org.apache.coyote.http11.Http11Processor
 225:           236          11328  sun.security.x509.X500Name (java.base@21.0.12)
 226:           471          11304  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 227:           471          11304  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 228:           234          11232  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.12)
 229:           350          11200  io.micrometer.core.instrument.cumulative.CumulativeFunctionCounter
 230:            99          11088  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 231:           195          10920  org.springframework.context.annotation.ConfigurationClass
 232:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.12)
