1:
 num     #instances         #bytes  class name (module)
  87:          1793          43032  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  88:          1789          42936  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  89:          1775          42600  java.lang.Class$AnnotationData (java.base@21.0.12)
  90:           664          42496  org.postgresql.core.v3.SimpleQuery
  91:          2655          42480  java.util.LinkedHashSet (java.base@21.0.12)
  92:          1752          42048  tools.jackson.databind.node.DoubleNode
  93:           871          41808  java.util.TreeMap (java.base@21.0.12)
  94:           200          41600  org.apache.coyote.Request
  95:          1703          41152  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  96:           188          41088  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  97:          1689          40976  [Lorg.springframework.core.ResolvableType;
  98:          1704          40896  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  99:          1241          39712  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 100:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 101:          1613          38712  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 102:          1589          38136  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 103:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 104:           200          36800  org.apache.catalina.connector.Request
 105:          1136          36352  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 106:           746          35808  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 107:           494          35568  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 108:           600          35200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 109:           864          34560  java.math.BigInteger (java.base@21.0.12)
 110:          1439          34536  org.springframework.util.ConcurrentReferenceHashMap$Entry
 111:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 112:          1069          34208  java.util.Locale (java.base@21.0.12)
 113:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 114:            20          34176  [S (java.base@21.0.12)
 115:          1056          33792  java.lang.Package (java.base@21.0.12)
 116:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 117:           841          33640  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 118:           700          33600  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 119:           600          33600  java.nio.HeapCharBuffer (java.base@21.0.12)
 120:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 121:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 122:          2065          33040  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 123:          1374          32976  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 124:           854          32928  [Ljava.lang.reflect.Field; (java.base@21.0.12)
 125:          1020          32640  org.apache.kafka.common.MetricName
 126:          1020          32640  org.apache.kafka.common.metrics.KafkaMetric
 127:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 128:          1914          30624  org.springframework.core.ResolvableType$DefaultVariableResolver
 129:           912          29184  org.apache.kafka.common.protocol.types.Schema
 130:          1808          28928  java.util.HashSet (java.base@21.0.12)
 131:           900          28800  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 132:           676          27040  java.lang.reflect.Parameter (java.base@21.0.12)
 133:           834          26688  sun.security.util.DerValue (java.base@21.0.12)
 134:          1086          26064  java.util.jar.Attributes$Name (java.base@21.0.12)
 135:           811          25952  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x0000744ac4788b00
 136:           786          25152  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 137:          1046          25104  java.time.Instant (java.base@21.0.12)
 138:            47          25040  [D (java.base@21.0.12)
 139:          1022          24528  org.springframework.beans.factory.annotation.InjectionMetadata
 140:          1020          24480  org.apache.kafka.common.telemetry.internals.MetricKey
