1:
 num     #instances         #bytes  class name (module)
  88:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  89:          1793          43032  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  90:          1789          42936  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  91:          1774          42576  java.lang.Class$AnnotationData (java.base@21.0.12)
  92:          2655          42480  java.util.LinkedHashSet (java.base@21.0.12)
  93:           876          42048  java.util.TreeMap (java.base@21.0.12)
  94:          1752          42048  tools.jackson.databind.node.DoubleNode
  95:           200          41600  org.apache.coyote.Request
  96:           189          41368  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  97:          1702          41136  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  98:          1713          41112  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  99:          1689          40976  [Lorg.springframework.core.ResolvableType;
 100:          1241          39712  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 101:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 102:          1610          38640  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 103:          1579          37896  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 104:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 105:           200          36800  org.apache.catalina.connector.Request
 106:          1140          36480  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 107:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
 108:           748          35904  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 109:           495          35640  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 110:           600          35200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 111:           864          34560  java.math.BigInteger (java.base@21.0.12)
 112:          1438          34512  org.springframework.util.ConcurrentReferenceHashMap$Entry
 113:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 114:           714          34272  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 115:          1069          34208  java.util.Locale (java.base@21.0.12)
 116:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 117:            17          33936  [S (java.base@21.0.12)
 118:          1056          33792  java.lang.Package (java.base@21.0.12)
 119:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 120:           600          33600  java.nio.HeapCharBuffer (java.base@21.0.12)
 121:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 122:           836          33440  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 123:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 124:          2074          33184  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 125:          1378          33072  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 126:           854          32936  [Ljava.lang.reflect.Field; (java.base@21.0.12)
