1:
 num     #instances         #bytes  class name (module)
  88:          1723          41352  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  89:           187          40568  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  90:          1686          40464  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  91:          1594          38256  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
  92:           944          37760  org.springframework.util.ConcurrentReferenceHashMap$Segment
  93:          1170          37440  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
  94:          1549          37176  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
  95:          1516          36696  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  96:           760          36480  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
  97:            66          36432  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
  98:           506          36432  java.lang.reflect.Field (java.base@21.0.12)
  99:           506          36432  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 100:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
 101:          1095          35040  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 102:           864          34560  java.math.BigInteger (java.base@21.0.12)
 103:          1429          34512  [Lorg.springframework.core.ResolvableType;
 104:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 105:          2153          34448  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 106:          1069          34208  java.util.Locale (java.base@21.0.12)
 107:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 108:          1059          33888  java.lang.Package (java.base@21.0.12)
 109:           847          33880  java.lang.Package$VersionInfo (java.base@21.0.12)
 110:            16          33856  [S (java.base@21.0.12)
 111:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 112:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 113:          1388          33312  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 114:          1377          33048  java.time.Instant (java.base@21.0.12)
 115:          1371          32904  java.util.concurrent.atomic.AtomicLong (java.base@21.0.12)
 116:           821          32840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 117:           990          31680  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x00007b807c5f70c8
 118:          1304          31296  org.apache.kafka.common.telemetry.internals.MetricKey
 119:           483          30912  org.apache.kafka.common.metrics.Sensor
 120:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 121:           546          30576  java.nio.HeapCharBuffer (java.base@21.0.12)
 122:          1217          29208  io.micrometer.core.instrument.binder.kafka.KafkaMetrics$$Lambda/0x00007b807ca9e288
 123:           912          29184  org.apache.kafka.common.protocol.types.Schema
 124:           900          28800  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 125:          1786          28576  java.util.HashMap$EntrySet (java.base@21.0.12)
 126:           834          26688  sun.security.util.DerValue (java.base@21.0.12)
 127:           653          26120  java.lang.reflect.Parameter (java.base@21.0.12)
 128:          1088          26112  java.util.jar.Attributes$Name (java.base@21.0.12)
 129:            47          25040  [D (java.base@21.0.12)
 130:          1556          24896  org.springframework.core.ResolvableType$DefaultVariableResolver
 131:          1028          24672  org.springframework.beans.factory.annotation.InjectionMetadata
 132:           509          24432  java.util.WeakHashMap (java.base@21.0.12)
 133:           991          23784  io.micrometer.core.instrument.internal.DefaultGauge
 134:           320          23040  org.apache.kafka.common.config.ConfigDef$ConfigKey
 135:           110          22880  org.apache.coyote.Request
 136:           710          22720  java.lang.invoke.MethodTypeForm (java.base@21.0.12)
 137:           944          22656  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 138:           706          22592  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 139:           706          22592  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 140:          1404          22464  java.util.HashSet (java.base@21.0.12)
 141:           182          21840  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 142:           680          21760  org.postgresql.core.NativeQuery
 143:           906          21744  org.apache.kafka.common.metrics.Sensor$StatAndConfig
 144:           226          21696  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
