1:
 num     #instances         #bytes  class name (module)
  87:          1799          43176  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  88:           674          43136  org.postgresql.core.v3.SimpleQuery
  89:          2668          42688  java.util.LinkedHashSet (java.base@21.0.12)
  90:          1777          42648  java.lang.Class$AnnotationData (java.base@21.0.12)
  91:           886          42528  java.util.TreeMap (java.base@21.0.12)
  92:          1752          42048  tools.jackson.databind.node.DoubleNode
  93:          1736          41664  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  94:          1703          41160  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  95:          1714          41136  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  96:          1689          40976  [Lorg.springframework.core.ResolvableType;
  97:           186          40528  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  98:          1241          39712  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
  99:          1642          39408  org.apache.tomcat.util.http.MimeHeaderField
 100:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 101:          1615          38760  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 102:          1599          38376  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 103:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 104:          1146          36672  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 105:           753          36144  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 106:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
 107:           499          35928  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 108:           864          34560  java.math.BigInteger (java.base@21.0.12)
 109:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 110:          1069          34208  java.util.Locale (java.base@21.0.12)
 111:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 112:            18          34016  [S (java.base@21.0.12)
 113:          1416          33984  org.springframework.util.ConcurrentReferenceHashMap$Entry
 114:           707          33936  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 115:           846          33840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 116:          1056          33792  java.lang.Package (java.base@21.0.12)
 117:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 118:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 119:          2097          33552  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 120:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 121:          1386          33264  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 122:          1035          33120  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 123:           857          33072  [Ljava.lang.reflect.Field; (java.base@21.0.12)
 124:           964          30848  org.apache.kafka.common.MetricName
 125:           964          30848  org.apache.kafka.common.metrics.KafkaMetric
 126:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 127:          1919          30704  org.springframework.core.ResolvableType$DefaultVariableResolver
 128:           912          29184  org.apache.kafka.common.protocol.types.Schema
 129:          1804          28864  java.util.HashSet (java.base@21.0.12)
 130:           684          27360  java.lang.reflect.Parameter (java.base@21.0.12)
 131:           834          26688  sun.security.util.DerValue (java.base@21.0.12)
 132:          1086          26064  java.util.jar.Attributes$Name (java.base@21.0.12)
 133:           455          25480  java.nio.HeapCharBuffer (java.base@21.0.12)
 134:           792          25344  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 135:            47          25040  [D (java.base@21.0.12)
 136:          1024          24576  org.springframework.beans.factory.annotation.InjectionMetadata
 137:           510          24480  java.util.WeakHashMap (java.base@21.0.12)
 138:           760          24320  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x000073f2a85c6c20
 139:           998          23952  java.time.Instant (java.base@21.0.12)
 140:           746          23872  java.lang.invoke.MethodTypeForm (java.base@21.0.12)
 141:           976          23424  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 142:           964          23136  org.apache.kafka.common.telemetry.internals.MetricKey
 143:           361          23104  org.apache.kafka.common.metrics.Sensor
 144:           320          23040  org.apache.kafka.common.config.ConfigDef$ConfigKey
 145:           706          22592  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 146:          1392          22272  java.util.HashMap$EntrySet (java.base@21.0.12)
 147:           685          21920  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.12)
 148:           182          21840  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 149:           910          21840  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.12)
 150:           907          21768  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.12)
 151:           338          21632  sun.security.ssl.CipherSuite (java.base@21.0.12)
 152:           901          21624  io.micrometer.core.instrument.binder.kafka.KafkaMetrics$$Lambda/0x000073f2a8aa3698
 153:           674          21568  org.postgresql.core.NativeQuery
 154:           224          21504  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 155:          1332          21312  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 156:          1319          21104  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.12)
 157:           628          20096  sun.reflect.generics.repository.ClassRepository (java.base@21.0.12)
 158:           845          20048  [Ljava.lang.reflect.Constructor; (java.base@21.0.12)
 159:           834          20016  [Lsun.security.x509.AVA; (java.base@21.0.12)
 160:           834          20016  sun.security.x509.AVA (java.base@21.0.12)
 161:           834          20016  sun.security.x509.RDN (java.base@21.0.12)
 162:           619          19808  io.micrometer.core.instrument.internal.DefaultLongTaskTimer$SampleImpl
