1:
 num     #instances         #bytes  class name (module)
  88:           520          44272  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  89:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  90:           196          43328  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  91:          1802          43248  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  92:          1796          43104  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  93:          1776          42624  java.lang.Class$AnnotationData (java.base@21.0.12)
  94:          2657          42512  java.util.LinkedHashSet (java.base@21.0.12)
  95:          1752          42048  tools.jackson.databind.node.DoubleNode
  96:           872          41856  java.util.TreeMap (java.base@21.0.12)
  97:           200          41600  org.apache.coyote.Request
  98:          1713          41416  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  99:          1691          41024  [Lorg.springframework.core.ResolvableType;
 100:          1241          39712  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 101:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 102:          1613          38712  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 103:          1589          38136  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 104:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 105:           774          37152  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 106:           200          36800  org.apache.catalina.connector.Request
 107:          1136          36352  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 108:           745          35760  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 109:           494          35568  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 110:           600          35200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 111:          1447          34728  org.springframework.util.ConcurrentReferenceHashMap$Entry
 112:           864          34560  java.math.BigInteger (java.base@21.0.12)
 113:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 114:          1069          34208  java.util.Locale (java.base@21.0.12)
 115:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 116:            17          33936  [S (java.base@21.0.12)
 117:          1056          33792  java.lang.Package (java.base@21.0.12)
 118:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 119:           602          33712  java.nio.HeapCharBuffer (java.base@21.0.12)
 120:           841          33640  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 121:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 122:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 123:          2076          33216  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
