1:
 num     #instances         #bytes  class name (module)
  88:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  89:          1799          43176  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  90:          2667          42672  java.util.LinkedHashSet (java.base@21.0.12)
  91:          1777          42648  java.lang.Class$AnnotationData (java.base@21.0.12)
  92:           880          42240  java.util.TreeMap (java.base@21.0.12)
  93:          1752          42048  tools.jackson.databind.node.DoubleNode
  94:          1742          41808  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  95:          1722          41328  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  96:          1703          41160  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  97:          1689          40976  [Lorg.springframework.core.ResolvableType;
  98:           187          40808  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  99:          1652          39648  org.apache.tomcat.util.http.MimeHeaderField
 100:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 101:          1615          38760  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 102:          1599          38376  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 103:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 104:          1146          36672  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 105:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
 106:           499          35928  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 107:           748          35904  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 108:           864          34560  java.math.BigInteger (java.base@21.0.12)
 109:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 110:          1069          34208  java.util.Locale (java.base@21.0.12)
 111:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 112:           712          34176  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 113:          1416          33984  org.springframework.util.ConcurrentReferenceHashMap$Entry
 114:           846          33840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 115:          1056          33792  java.lang.Package (java.base@21.0.12)
 116:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 117:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 118:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 119:          1035          33120  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 120:           857          33072  [Ljava.lang.reflect.Field; (java.base@21.0.12)
 121:          1378          33072  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 122:          2067          33072  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 123:           964          30848  org.apache.kafka.common.MetricName
 124:           964          30848  org.apache.kafka.common.metrics.KafkaMetric
 125:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 126:          1919          30704  org.springframework.core.ResolvableType$DefaultVariableResolver
 127:           912          29184  org.apache.kafka.common.protocol.types.Schema
 128:          1803          28848  java.util.HashSet (java.base@21.0.12)
 129:           684          27360  java.lang.reflect.Parameter (java.base@21.0.12)
 130:           834          26688  sun.security.util.DerValue (java.base@21.0.12)
 131:          1086          26064  java.util.jar.Attributes$Name (java.base@21.0.12)
 132:           803          25696  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 133:           455          25480  java.nio.HeapCharBuffer (java.base@21.0.12)
 134:           792          25344  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 135:            47          25040  [D (java.base@21.0.12)
 136:          1024          24576  org.springframework.beans.factory.annotation.InjectionMetadata
 137:           510          24480  java.util.WeakHashMap (java.base@21.0.12)
 138:           760          24320  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x000073f2a85c6c20
 139:           759          24288  java.lang.invoke.MethodTypeForm (java.base@21.0.12)
