1:
 num     #instances         #bytes  class name (module)
  89:          1682          40368  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  90:           184          39968  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  91:           912          39752  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  92:          1638          39312  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  93:          1613          38712  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
  94:          1589          38136  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
  95:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
  96:          1146          36672  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
  97:           912          36480  org.springframework.util.ConcurrentReferenceHashMap$Segment
  98:          1504          36376  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  99:           499          35928  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 100:           747          35856  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 101:           489          35208  java.lang.reflect.Field (java.base@21.0.12)
 102:           864          34560  java.math.BigInteger (java.base@21.0.12)
 103:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 104:          1427          34464  [Lorg.springframework.core.ResolvableType;
 105:          1069          34208  java.util.Locale (java.base@21.0.12)
 106:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 107:          1056          33792  java.lang.Package (java.base@21.0.12)
 108:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 109:           841          33640  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 110:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 111:          1394          33456  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 112:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 113:          1020          32640  org.apache.kafka.common.MetricName
 114:          1020          32640  org.apache.kafka.common.metrics.KafkaMetric
 115:          2039          32624  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 116:           156          32448  org.apache.coyote.Request
 117:           912          30832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 118:           960          30720  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 119:           912          29184  org.apache.kafka.common.protocol.types.Schema
